STN#,Elevation,Lon,Lat,
C0X140,17,120.2031,23.1256,
C0X150,18,120.2278,23.1026,
C0X160,26,120.2577,22.9683,
C0X170,50,120.3278,22.963,
C0X180,62,120.3633,23.0757,
C0X190,10,120.1522,22.9932,
C0X200,61,120.4085,23.0568,
C0X210,38,120.4144,23.3475,
C0X220,26,120.1822,23.2304,
C0X230,29,120.2476,23.2726,
C0X240,394,120.508,23.3312,
C0X250,33,120.3167,23.3107,
C0X260,39,120.3623,23.3664,
C0X270,33,120.3736,23.2572,
C0X280,22,120.1358,23.215,
C0X290,10,120.1255,23.2678,
C0X300,70,120.4773,23.386,
C0X310,9,120.0863,23.1473,
C0Z020,211,121.2623,23.2087,
C0Z050,824,121.2132,23.3457,
C0Z061,174,121.3397,23.3215,
C0Z070,272,121.3741,23.4681,
C0Z080,298,121.3782,23.5876,
C0Z100,36,121.5498,23.8953,
C0Z150,27,121.5952,23.9309,
C0Z160,124,121.4534,23.7461,
C0Z170,199,121.3033,23.3443,
C0Z180,34,121.6045,24.0395,
C0Z190,62,121.6297,24.1474,
C0Z200,153,121.4201,23.7092,
C0Z210,126,121.3902,23.5239,
C0Z230,31,121.7701,24.3072,
C0Z250,1124,121.3069,23.4928,
C0Z260,64,121.5076,23.8421,
C0Z270,343,121.5401,23.7384,
C0Z280,224,121.4107,23.4743,
C0Z290,946,121.3829,23.3689,
C0Z300,182,121.3055,23.2685,
C1A630,527,121.5386,24.771,
C1A730,22,121.5395,25.0144,
C1A9N0,435,121.5933,24.9342,
C1AC50,111,121.4693,25.1335,
C1C510,106,121.0872,24.9401,
C1D380,65,121.0383,24.8475,
C1D400,839,121.2839,24.7191,
C1D410,1290,121.0799,24.5794,
C1D420,1279,121.1606,24.6328,
C1D630,462,121.1192,24.7665,
C1D640,718,121.091,24.6444,
C1E451,950,120.9402,24.3686,
C1E461,1325,120.986,24.398,
C1E480,576,121.0347,24.5548,
C1E511,326,120.827,24.3477,
C1E601,125,120.7348,24.5725,
C1E670,1209,121.0028,24.5383,
C1E681,977,120.9238,24.4217,
C1E691,786,120.8375,24.4014,
C1E701,737,120.9276,24.4918,
C1E711,990,120.9017,24.3673,
C1E721,1409,120.968,24.489,
C1E770,83,120.8308,24.5269,
C1F871,1000,121.0186,24.2035,
C1F891,2205,121.0056,24.2635,
C1F911,417,120.8411,24.2214,
C1F941,2620,121.0266,24.2806,
C1F9B1,130,120.7352,24.0662,
C1F9C1,610,120.9299,24.1828,
C1F9D1,639,120.8869,24.1583,
C1F9E1,563,120.832,24.1605,
C1F9F1,500,120.849,24.2724,
C1F9G1,810,120.8484,24.1809,
C1F9H1,930,120.9458,24.2791,
C1F9J1,723,120.8204,24.0712,
C1F9W0,1970,121.1903,24.2548,
C1G690,110,120.5676,23.8161,
C1H000,2454,121.2052,24.1094,
C1H860,1840,121.1835,24.1238,
C1H900,934,120.963,24.0808,
C1H920,736,120.8799,24.102,
C1H941,630,120.8022,23.9674,
C1H971,428,120.6378,23.9251,
C1H9B1,1710,120.9947,24.1263,
C1I020,1120,121.1323,23.9798,
C1I030,948,121.0525,23.9132,
C1I050,2568,121.1411,23.7537,
C1I070,825,120.8889,23.5911,
C1I101,1810,120.8076,23.6618,
C1I121,1515,120.76,23.6784,
C1I131,311,120.6541,23.6419,
C1I140,1700,121.0879,23.7544,
C1I150,393,120.9494,23.7934,
C1I201,677,120.7121,23.7287,
C1I211,529,120.812,23.934,
C1I220,1098,120.847,23.9053,
C1I230,837,120.845,23.9619,
C1I240,725,120.9179,23.9587,
C1I250,732,120.9911,23.9619,
C1I260,601,121.0069,23.9246,
C1I280,439,120.6426,23.8208,
C1I290,1151,120.8874,23.6682,
C1I310,1033,120.884,23.7545,
C1I320,1275,121.1786,23.953,
C1I330,1266,121.0761,23.9868,
C1I340,897,120.8687,23.5633,
C1I400,1399,121.0045,24.0188,
C1I430,2415,121.2243,24.192,
C1I440,2540,120.8789,23.4787,
C1I450,3025,120.9443,23.5942,
C1I470,1680,120.7864,23.6395,
C1I500,2017,120.9949,23.8586,
C1I510,1208,120.833,23.7615,
C1K540,15,120.1805,23.5853,
C1M390,1090,120.6544,23.4067,
C1M400,369,120.5761,23.2519,
C1M480,798,120.6078,23.537,
C1M570,728,120.6202,23.475,
C1M600,986,120.6033,23.4064,
C1M610,1083,120.6635,23.4966,
C1M620,1252,120.6752,23.5451,
