timestamp,typhoon
2014091914,FUNG-WONG
2014091915,FUNG-WONG
2014091916,FUNG-WONG
2014091917,FUNG-WONG
2014091918,FUNG-WONG
2014091919,FUNG-WONG
2014091920,FUNG-WONG
2014091921,FUNG-WONG
2014091922,FUNG-WONG
2014091923,FUNG-WONG
2014091924,FUNG-WONG
2014092001,FUNG-WONG
2014092002,FUNG-WONG
2014092003,FUNG-WONG
2014092004,FUNG-WONG
2014092005,FUNG-WONG
2014092006,FUNG-WONG
2014092007,FUNG-WONG
2014092008,FUNG-WONG
2014092009,FUNG-WONG
2014092010,FUNG-WONG
2014092011,FUNG-WONG
2014092012,FUNG-WONG
2014092013,FUNG-WONG
2014092014,FUNG-WONG
2014092015,FUNG-WONG
2014092016,FUNG-WONG
2014092017,FUNG-WONG
2014092018,FUNG-WONG
2014092019,FUNG-WONG
2014092020,FUNG-WONG
2014092021,FUNG-WONG
2014092022,FUNG-WONG
2014092023,FUNG-WONG
2014092024,FUNG-WONG
2014092101,FUNG-WONG
2014092102,FUNG-WONG
2014092103,FUNG-WONG
2014092104,FUNG-WONG
2014092105,FUNG-WONG
2014092106,FUNG-WONG
2014092107,FUNG-WONG
2014092108,FUNG-WONG
2014092109,FUNG-WONG
2014092110,FUNG-WONG
2014092111,FUNG-WONG
2014092112,FUNG-WONG
2014092113,FUNG-WONG
2014092114,FUNG-WONG
2014092115,FUNG-WONG
2014092116,FUNG-WONG
2014092117,FUNG-WONG
2014092118,FUNG-WONG
2014092119,FUNG-WONG
2014092120,FUNG-WONG
2014092121,FUNG-WONG
2014092122,FUNG-WONG
2014092123,FUNG-WONG
2014092124,FUNG-WONG
2014092201,FUNG-WONG
2014092202,FUNG-WONG
2014092203,FUNG-WONG
2014092204,FUNG-WONG
2014092205,FUNG-WONG
2014092206,FUNG-WONG
2014092207,FUNG-WONG
2014092208,FUNG-WONG
2014092209,FUNG-WONG
2014092210,FUNG-WONG
2014092211,FUNG-WONG
2014092212,FUNG-WONG
2014092213,FUNG-WONG
2014092214,FUNG-WONG
2014092215,FUNG-WONG
2014092216,FUNG-WONG
2014092217,FUNG-WONG
2014092218,FUNG-WONG
2014092219,FUNG-WONG
2014092220,FUNG-WONG
2014092221,FUNG-WONG
2014092222,FUNG-WONG
2014092223,FUNG-WONG
2014092224,FUNG-WONG
2015051001,NOUL
2015051002,NOUL
2015051003,NOUL
2015051004,NOUL
2015051005,NOUL
2015051006,NOUL
2015051007,NOUL
2015051008,NOUL
2015051009,NOUL
2015051010,NOUL
2015051011,NOUL
2015051012,NOUL
2015051013,NOUL
2015051014,NOUL
2015051015,NOUL
2015051016,NOUL
2015051017,NOUL
2015051018,NOUL
2015051019,NOUL
2015051020,NOUL
2015051021,NOUL
2015051022,NOUL
2015051023,NOUL
2015051024,NOUL
2015051101,NOUL
2015051102,NOUL
2015051103,NOUL
2015051104,NOUL
2015051105,NOUL
2015051106,NOUL
2015051107,NOUL
2015051108,NOUL
2015051109,NOUL
2015051110,NOUL
2015051111,NOUL
2015051112,NOUL
2015051113,NOUL
2015051114,NOUL
2015051115,NOUL
2015051116,NOUL
2015051117,NOUL
2015051118,NOUL
2015051119,NOUL
2015051120,NOUL
2015051121,NOUL
2015051122,NOUL
2015051123,NOUL
2015051124,NOUL
2015070901,CHAN-HOM
2015070902,CHAN-HOM
2015070903,CHAN-HOM
2015070904,CHAN-HOM
2015070905,CHAN-HOM
2015070906,CHAN-HOM
2015070907,CHAN-HOM
2015070908,CHAN-HOM
2015070909,CHAN-HOM
2015070910,CHAN-HOM
2015070911,CHAN-HOM
2015070912,CHAN-HOM
2015070913,CHAN-HOM
2015070914,CHAN-HOM
2015070915,CHAN-HOM
2015070916,CHAN-HOM
2015070917,CHAN-HOM
2015070918,CHAN-HOM
2015070919,CHAN-HOM
2015070920,CHAN-HOM
2015070921,CHAN-HOM
2015070922,CHAN-HOM
2015070923,CHAN-HOM
2015070924,CHAN-HOM
2015071001,CHAN-HOM
2015071002,CHAN-HOM
2015071003,CHAN-HOM
2015071004,CHAN-HOM
2015071005,CHAN-HOM
2015071006,CHAN-HOM
2015071007,CHAN-HOM
2015071008,CHAN-HOM
2015071009,CHAN-HOM
2015071010,CHAN-HOM
2015071011,CHAN-HOM
2015071012,CHAN-HOM
2015071013,CHAN-HOM
2015071014,CHAN-HOM
2015071015,CHAN-HOM
2015071016,CHAN-HOM
2015071017,CHAN-HOM
2015071018,CHAN-HOM
2015071019,CHAN-HOM
2015071020,CHAN-HOM
2015071021,CHAN-HOM
2015071022,CHAN-HOM
2015071023,CHAN-HOM
2015071024,CHAN-HOM
2015071101,CHAN-HOM
2015071102,CHAN-HOM
2015071103,CHAN-HOM
2015071104,CHAN-HOM
2015071105,CHAN-HOM
2015071106,CHAN-HOM
2015071107,CHAN-HOM
2015071108,CHAN-HOM
2015071109,CHAN-HOM
2015071110,CHAN-HOM
2015071111,CHAN-HOM
2015071112,CHAN-HOM
2015071113,CHAN-HOM
2015071114,CHAN-HOM
2015071115,CHAN-HOM
2015071116,CHAN-HOM
2015071117,CHAN-HOM
2015071118,CHAN-HOM
2015071119,CHAN-HOM
2015071120,CHAN-HOM
2015071121,CHAN-HOM
2015071122,CHAN-HOM
2015071123,CHAN-HOM
2015071124,CHAN-HOM
2015070601,LINFA
2015070602,LINFA
2015070603,LINFA
2015070604,LINFA
2015070605,LINFA
2015070606,LINFA
2015070607,LINFA
2015070608,LINFA
2015070609,LINFA
2015070610,LINFA
2015070611,LINFA
2015070612,LINFA
2015070613,LINFA
2015070614,LINFA
2015070615,LINFA
2015070616,LINFA
2015070617,LINFA
2015070618,LINFA
2015070619,LINFA
2015070620,LINFA
2015070621,LINFA
2015070622,LINFA
2015070623,LINFA
2015070624,LINFA
2015070701,LINFA
2015070702,LINFA
2015070703,LINFA
2015070704,LINFA
2015070705,LINFA
2015070706,LINFA
2015070707,LINFA
2015070708,LINFA
2015070709,LINFA
2015070710,LINFA
2015070711,LINFA
2015070712,LINFA
2015070713,LINFA
2015070714,LINFA
2015070715,LINFA
2015070716,LINFA
2015070717,LINFA
2015070718,LINFA
2015070719,LINFA
2015070720,LINFA
2015070721,LINFA
2015070722,LINFA
2015070723,LINFA
2015070724,LINFA
2015070801,LINFA
2015070802,LINFA
2015070803,LINFA
2015070804,LINFA
2015070805,LINFA
2015070806,LINFA
2015070807,LINFA
2015070808,LINFA
2015070809,LINFA
2015070810,LINFA
2015070811,LINFA
2015070812,LINFA
2015070813,LINFA
2015070814,LINFA
2015070815,LINFA
2015070816,LINFA
2015070817,LINFA
2015070818,LINFA
2015070819,LINFA
2015070820,LINFA
2015070821,LINFA
2015070822,LINFA
2015070823,LINFA
2015070824,LINFA
2015070901,LINFA
2015070902,LINFA
2015070903,LINFA
2015070904,LINFA
2015070905,LINFA
2015070906,LINFA
2015070907,LINFA
2015070908,LINFA
2015070909,LINFA
2015070910,LINFA
2015070911,LINFA
2015070912,LINFA
2015070913,LINFA
2015070914,LINFA
2015070915,LINFA
2015070916,LINFA
2015070917,LINFA
2015070918,LINFA
2015070919,LINFA
2015070920,LINFA
2015070921,LINFA
2015070922,LINFA
2015070923,LINFA
2015070924,LINFA
2015080601,SOUDELOR
2015080602,SOUDELOR
2015080603,SOUDELOR
2015080604,SOUDELOR
2015080605,SOUDELOR
2015080606,SOUDELOR
2015080607,SOUDELOR
2015080608,SOUDELOR
2015080609,SOUDELOR
2015080610,SOUDELOR
2015080611,SOUDELOR
2015080612,SOUDELOR
2015080613,SOUDELOR
2015080614,SOUDELOR
2015080615,SOUDELOR
2015080616,SOUDELOR
2015080617,SOUDELOR
2015080618,SOUDELOR
2015080619,SOUDELOR
2015080620,SOUDELOR
2015080621,SOUDELOR
2015080622,SOUDELOR
2015080623,SOUDELOR
2015080624,SOUDELOR
2015080701,SOUDELOR
2015080702,SOUDELOR
2015080703,SOUDELOR
2015080704,SOUDELOR
2015080705,SOUDELOR
2015080706,SOUDELOR
2015080707,SOUDELOR
2015080708,SOUDELOR
2015080709,SOUDELOR
2015080710,SOUDELOR
2015080711,SOUDELOR
2015080712,SOUDELOR
2015080713,SOUDELOR
2015080714,SOUDELOR
2015080715,SOUDELOR
2015080716,SOUDELOR
2015080717,SOUDELOR
2015080718,SOUDELOR
2015080719,SOUDELOR
2015080720,SOUDELOR
2015080721,SOUDELOR
2015080722,SOUDELOR
2015080723,SOUDELOR
2015080724,SOUDELOR
2015080801,SOUDELOR
2015080802,SOUDELOR
2015080803,SOUDELOR
2015080804,SOUDELOR
2015080805,SOUDELOR
2015080806,SOUDELOR
2015080807,SOUDELOR
2015080808,SOUDELOR
2015080809,SOUDELOR
2015080810,SOUDELOR
2015080811,SOUDELOR
2015080812,SOUDELOR
2015080813,SOUDELOR
2015080814,SOUDELOR
2015080815,SOUDELOR
2015080816,SOUDELOR
2015080817,SOUDELOR
2015080818,SOUDELOR
2015080819,SOUDELOR
2015080820,SOUDELOR
2015080821,SOUDELOR
2015080822,SOUDELOR
2015080823,SOUDELOR
2015080824,SOUDELOR
2015080901,SOUDELOR
2015080902,SOUDELOR
2015080903,SOUDELOR
2015080904,SOUDELOR
2015080905,SOUDELOR
2015080906,SOUDELOR
2015080907,SOUDELOR
2015080908,SOUDELOR
2015080909,SOUDELOR
2015080910,SOUDELOR
2015080911,SOUDELOR
2015080912,SOUDELOR
2015080913,SOUDELOR
2015080914,SOUDELOR
2015080915,SOUDELOR
2015080916,SOUDELOR
2015080917,SOUDELOR
2015080918,SOUDELOR
2015080919,SOUDELOR
2015080920,SOUDELOR
2015080921,SOUDELOR
2015080922,SOUDELOR
2015080923,SOUDELOR
2015080924,SOUDELOR
2015082001,GONI
2015082002,GONI
2015082003,GONI
2015082004,GONI
2015082005,GONI
2015082006,GONI
2015082007,GONI
2015082008,GONI
2015082009,GONI
2015082010,GONI
2015082011,GONI
2015082012,GONI
2015082013,GONI
2015082014,GONI
2015082015,GONI
2015082016,GONI
2015082017,GONI
2015082018,GONI
2015082019,GONI
2015082020,GONI
2015082021,GONI
2015082022,GONI
2015082023,GONI
2015082024,GONI
2015082101,GONI
2015082102,GONI
2015082103,GONI
2015082104,GONI
2015082105,GONI
2015082106,GONI
2015082107,GONI
2015082108,GONI
2015082109,GONI
2015082110,GONI
2015082111,GONI
2015082112,GONI
2015082113,GONI
2015082114,GONI
2015082115,GONI
2015082116,GONI
2015082117,GONI
2015082118,GONI
2015082119,GONI
2015082120,GONI
2015082121,GONI
2015082122,GONI
2015082123,GONI
2015082124,GONI
2015082201,GONI
2015082202,GONI
2015082203,GONI
2015082204,GONI
2015082205,GONI
2015082206,GONI
2015082207,GONI
2015082208,GONI
2015082209,GONI
2015082210,GONI
2015082211,GONI
2015082212,GONI
2015082213,GONI
2015082214,GONI
2015082215,GONI
2015082216,GONI
2015082217,GONI
2015082218,GONI
2015082219,GONI
2015082220,GONI
2015082221,GONI
2015082222,GONI
2015082223,GONI
2015082224,GONI
2015082301,GONI
2015082302,GONI
2015082303,GONI
2015082304,GONI
2015082305,GONI
2015082306,GONI
2015082307,GONI
2015082308,GONI
2015082309,GONI
2015082310,GONI
2015082311,GONI
2015082312,GONI
2015082313,GONI
2015082314,GONI
2015082315,GONI
2015082316,GONI
2015082317,GONI
2015082318,GONI
2015082319,GONI
2015082320,GONI
2015082321,GONI
2015082322,GONI
2015082323,GONI
2015082324,GONI
2015092701,DUJUAN
2015092702,DUJUAN
2015092703,DUJUAN
2015092704,DUJUAN
2015092705,DUJUAN
2015092706,DUJUAN
2015092707,DUJUAN
2015092708,DUJUAN
2015092709,DUJUAN
2015092710,DUJUAN
2015092711,DUJUAN
2015092712,DUJUAN
2015092713,DUJUAN
2015092714,DUJUAN
2015092715,DUJUAN
2015092716,DUJUAN
2015092717,DUJUAN
2015092718,DUJUAN
2015092719,DUJUAN
2015092720,DUJUAN
2015092721,DUJUAN
2015092722,DUJUAN
2015092723,DUJUAN
2015092724,DUJUAN
2015092801,DUJUAN
2015092802,DUJUAN
2015092803,DUJUAN
2015092804,DUJUAN
2015092805,DUJUAN
2015092806,DUJUAN
2015092807,DUJUAN
2015092808,DUJUAN
2015092809,DUJUAN
2015092810,DUJUAN
2015092811,DUJUAN
2015092812,DUJUAN
2015092813,DUJUAN
2015092814,DUJUAN
2015092815,DUJUAN
2015092816,DUJUAN
2015092817,DUJUAN
2015092818,DUJUAN
2015092819,DUJUAN
2015092820,DUJUAN
2015092821,DUJUAN
2015092822,DUJUAN
2015092823,DUJUAN
2015092824,DUJUAN
2015092901,DUJUAN
2015092902,DUJUAN
2015092903,DUJUAN
2015092904,DUJUAN
2015092905,DUJUAN
2015092906,DUJUAN
2015092907,DUJUAN
2015092908,DUJUAN
2015092909,DUJUAN
2015092910,DUJUAN
2015092911,DUJUAN
2015092912,DUJUAN
2015092913,DUJUAN
2015092914,DUJUAN
2015092915,DUJUAN
2015092916,DUJUAN
2015092917,DUJUAN
2015092918,DUJUAN
2015092919,DUJUAN
2015092920,DUJUAN
2015092921,DUJUAN
2015092922,DUJUAN
2015092923,DUJUAN
2015092924,DUJUAN
2016070601,NEPARTAK
2016070602,NEPARTAK
2016070603,NEPARTAK
2016070604,NEPARTAK
2016070605,NEPARTAK
2016070606,NEPARTAK
2016070607,NEPARTAK
2016070608,NEPARTAK
2016070609,NEPARTAK
2016070610,NEPARTAK
2016070611,NEPARTAK
2016070612,NEPARTAK
2016070613,NEPARTAK
2016070614,NEPARTAK
2016070615,NEPARTAK
2016070616,NEPARTAK
2016070617,NEPARTAK
2016070618,NEPARTAK
2016070619,NEPARTAK
2016070620,NEPARTAK
2016070621,NEPARTAK
2016070622,NEPARTAK
2016070623,NEPARTAK
2016070624,NEPARTAK
2016070701,NEPARTAK
2016070702,NEPARTAK
2016070703,NEPARTAK
2016070704,NEPARTAK
2016070705,NEPARTAK
2016070706,NEPARTAK
2016070707,NEPARTAK
2016070708,NEPARTAK
2016070709,NEPARTAK
2016070710,NEPARTAK
2016070711,NEPARTAK
2016070712,NEPARTAK
2016070713,NEPARTAK
2016070714,NEPARTAK
2016070715,NEPARTAK
2016070716,NEPARTAK
2016070717,NEPARTAK
2016070718,NEPARTAK
2016070719,NEPARTAK
2016070720,NEPARTAK
2016070721,NEPARTAK
2016070722,NEPARTAK
2016070723,NEPARTAK
2016070724,NEPARTAK
2016070801,NEPARTAK
2016070802,NEPARTAK
2016070803,NEPARTAK
2016070804,NEPARTAK
2016070805,NEPARTAK
2016070806,NEPARTAK
2016070807,NEPARTAK
2016070808,NEPARTAK
2016070809,NEPARTAK
2016070810,NEPARTAK
2016070811,NEPARTAK
2016070812,NEPARTAK
2016070813,NEPARTAK
2016070814,NEPARTAK
2016070815,NEPARTAK
2016070816,NEPARTAK
2016070817,NEPARTAK
2016070818,NEPARTAK
2016070819,NEPARTAK
2016070820,NEPARTAK
2016070821,NEPARTAK
2016070822,NEPARTAK
2016070823,NEPARTAK
2016070824,NEPARTAK
2016070901,NEPARTAK
